App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Minimum Android Ver,Genres
Educational Games 4 Kids,Family,4.3,11618,39,5000000,Free,0,Others,"April 3, 2018",2.4,4.1,Educational
U by BB&T,Finance,4.3,16600,24,1000000,Free,0,Others,"June 19, 2018",1.7.7,4.4,Finance
Interactive CT and MRI Anatomy,Medical,3.4,35,24,1000,Paid,15.46,Others,"May 27, 2015",2.0.3,2.2,Medical
Koi Free Live Wallpaper,Personalization,4.2,290241,4.1,50000000,Free,0,Others,"June 24, 2014",1.9,2.1,Personalization
A Manual of Acupuncture,Medical,3.5,214,68,1000,Paid,33.99,Others,"October 2, 2017",2.1.35,4,Medical
All Football - Latest News & Videos,Sports,4.6,152867,17,10000000,Free,0,Others,"August 3, 2018",3.0.5,4.1,Sports
AG Drive 3D,Game,3.8,164,22,10000,Free,0,Others,"March 20, 2015",1.0.1,2.3.3,Adventure
Casino AZ/Talking Stick Resort,Travel And Local,4.3,201,45,10000,Free,0,Others,"July 16, 2018",7.9.2.6,4.4,Travel & Local
LG Hi-Fi Plus Manager,Tools,3.5,154,3.4,10000,Free,0,Others,"September 6, 2016",5.0.6,6,Tools
BlackJack 21 Pro,Game,4.5,26744,51,500000,Free,0,Teen,"July 27, 2018",7.4.0,4.0.3,Casino
Bestie - Camera360 Selfie,Photography,4.5,512996,23,10000000,Free,0,Others,"August 2, 2018",4.0.3.5,4.1,Photography
365Scores - Live Scores,Sports,4.6,666521,25,10000000,Free,0,Others,"July 29, 2018",5.5.9,4.1,Sports
Gmail,Communication,4.3,4604324,1,1000000000,Free,0,Others,"August 2, 2018",Varies with device,-1,Communication
"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",Finance,4.6,157505,1,5000000,Free,0,Others,"August 1, 2018",Varies with device,-1,Finance
The Visitor: Ep.2 - Sleepover Slaughter,Game,4.3,5731,31,1000000,Free,0,Teen,"January 2, 2018",1.1.5,4.1,Adventure
ES Task Manager (Task Killer ),Business,4.3,171771,3.2,10000000,Free,0,Others,"January 15, 2018",2.0.6.4,2.1,Business
DW Contacts widget,Tools,4.3,56,2,1000,Paid,0.99,Others,"June 5, 2014",1.1.0.0,2.1,Tools
Boston University Alumni,Family,1.8,5,5.2,1000,Free,0,Others,"December 2, 2017",4,4.4,Education
"m, cm, mm to yard, feet, inch converter tool",Tools,4.3,246,2.8,100000,Free,0,Others,"February 6, 2018",1.1,4,Tools
Account Class-11 Solutions (D K Goel),Family,4.5,663,25,50000,Free,0,Others,"February 9, 2018",3.0.0,3,Education
AG Track,Tools,4.1,12,8.7,100,Free,0,Others,"March 23, 2018",3.3,4,Tools
TurboScan: scan documents and receipts in PDF,Business,4.7,11442,6.8,100000,Paid,4.99,Others,"March 25, 2018",1.5.2,4,Business
